Date,Total_KW,DNI(KWH),Energy_conversion
2021-12-17,73.04940339937001,3.161,1.3819456809445398
2021-12-18,72.7618513722,1.7850000000000001,2.437610521465695
2021-12-19,119.60497588908999,2.916,2.4527908848790703
2021-12-20,73.6055479897,3.043,1.4464632142794853
2021-12-21,86.44284866561,0.863,5.989865491665031
2021-12-22,84.50438115564,1.3800000000000001,3.6618363766443283
2021-12-23,46.884021234500004,1.311,2.1385576275769083
2021-12-24,584.0030488419,2.9379999999999997,11.886722342817999
2021-12-25,1220.5449508566999,4.122,17.706983655071376
2021-12-26,624.09601342921,4.355,8.569629469349456
2021-12-27,30.9988846855,3.368,0.5503928470058794
2021-12-28,48.891236838626,1.728,1.6919443765685647
2021-12-29,98.540875473108,2.455,2.400289997301902
2021-12-30,935.5472944317,4.373,12.793373086485907
2021-12-31,805.6669351579811,2.593,18.58026137294628
2022-01-01,1106.5868524028167,10.009629661736916,6.610986825240016
2022-01-02,930.04125744744,10.225678588432313,5.438872425482344
2022-01-03,122.63418325151001,10.32094030026534,0.7105441569205404
2022-01-04,106.114869070193,10.265555124690712,0.6181481851036521
2022-01-05,64.7134861783,10.33354763788971,0.37449338067832133
2022-01-06,209.11192805965,10.476814425680141,1.193571252992811
2022-01-07,140.73078976994,10.43265599722022,0.8066646637618052
2022-01-08,1016.1902402642389,10.217910122817772,5.947188947079119
2022-01-09,1071.8853448835,10.287164543636601,6.230909480546036
2022-01-10,87.0518838798,10.412840473504822,0.49992833733029846
2022-01-11,39.873946363,10.35705195394184,0.23022467094326607
2022-01-12,127.3518049704,10.25707361016642,0.7424725941230789
2022-01-13,81.7684060878,10.252233025019654,0.4769423186769809
2022-01-14,932.157163176788,10.271895376664895,5.426719191455184
2022-01-15,1788.5940015501,10.060708191307317,10.63119325136355
2022-01-16,66.79756921299999,10.143183747652166,0.3938085682675634
2022-01-17,64.1708584342,10.228662657878884,0.37516108967872275
2022-01-18,71.2120030167,10.092003081391523,0.42196324402157376
2022-01-19,63.52933911363,10.013574880583546,0.379388343285547
2022-01-20,884.4934317789,10.219927745300469,5.175419790654641
2022-01-21,1746.3035534609999,10.098089602230008,10.341399438347885
2022-01-22,947.32799193556,10.096071192893751,5.611083882130046
2022-01-23,893.1629941071001,10.030372515586496,5.324912230818424
2022-01-24,327.4481970309,10.046323377001068,1.94910055654344
2022-01-25,118.9878141605,10.163811334021617,0.7000751901113487
2022-01-26,101.91363726446,10.1289906734863,0.6016790996911969
2022-01-27,46.071431069970004,10.333062435607113,0.2666253535525062
2022-01-28,116.8360098727,10.266024222552844,0.6805706680378134
2022-01-29,108.5908266796,10.259907989415378,0.6329194888309752
2022-01-30,52.93556637924,10.225152532752462,0.3095826149220693
2022-01-31,106.9599216811,10.437518110815784,0.6128054648333545
2022-02-01,81.6033449877,10.50495841175304,0.4645285587815641
2022-02-02,69.09659441714,10.511466730601626,0.39309011066656024
2022-02-03,754.176400845,10.67331630553364,4.225444035598845
2022-02-04,749.1969037143,10.769179853549572,4.160180166165755
2022-02-05,110.1273291305,10.618076270212947,0.6202232771485345
2022-02-06,100.60094254433,10.765061473810485,0.5588359426760873
2022-02-07,102.12191205038,10.85811094690594,0.5624234991484182
2022-02-08,112.4921577369,10.97208108353174,0.613101013653293
2022-02-09,42.29140258357,10.909496430808392,0.23181747947501546
2022-02-10,77.56777918745,11.148594032660132,0.4160639153169044
2022-02-11,82.6623556399,11.244137710007724,0.43962301131968134
2022-02-12,119.52422666521001,11.149114650807542,0.6410831413200975
2022-02-13,97.40264275202,11.19849197042339,0.5201277115169975
2022-02-14,116.1859692077,11.340113501406456,0.6126819404764908
2022-02-15,532.2712861343,11.44382705680551,2.7813814111110022
2022-02-16,428.6801219385,11.428462588949229,2.243077763109921
2022-02-17,43.7986763182,11.504464847303478,0.22766347442374496
2022-02-18,846.5940650175,11.666654079163193,4.339380108578755
2022-02-19,1697.827056108,11.574519066914778,8.77181150733323
2022-02-20,917.7628732452999,11.472917952246439,4.783605896769621
2022-02-21,140.0220409317,11.654503122502273,0.7184580849742748
2022-02-22,66.1209829481,11.736550631363167,0.33689736937346215
2022-02-23,611.0099910357,11.56928807714634,3.158206128174011
2022-02-24,583.2517741250999,11.868521939499471,2.938720123703832
2022-02-25,76.75059817421,11.750884489918802,0.3905800054134112
2022-02-26,142.5251736942,11.66714272056093,0.7305094927502169
2022-02-27,143.91805846256,11.587121245907692,0.7427429452946763
2022-02-28,137.9208307767,11.672274068461453,0.7065992685024439
2022-03-01,122.664042604,11.812214621611082,0.6209901901305798
2022-03-02,125.412953704,11.679024827687469,0.6421472249657488
2022-03-03,72.3186781987,11.86400070834614,0.36451727179664684
2022-03-04,114.78806288509999,11.810677506645307,0.5811934500015373
2022-03-05,32.12565795641,11.687642664104885,0.16437050951451723
2022-03-06,488.3941499389,11.792439608939667,2.4766554252483353
2022-03-07,570.668539753444,11.797176145733067,2.892708438345097
2022-03-08,106.7136107265,11.784112088154073,0.5415290329719524
2022-03-09,157.5321318222,11.772225820997644,0.8002199256262683
2022-03-10,69.45657960339,11.732892623821181,0.3540031217627067
2022-03-11,147.12492093012,12.028537505839497,0.7314290601188752
