Year,Month,Day,Hour,Minute,DNI,DNI(KWH)
2019,1,21,15,30,25,0.025
2019,1,21,16,30,1,0.001
2019,1,21,17,30,0,0.0
2019,1,21,18,30,0,0.0
2019,1,21,19,30,0,0.0
2019,1,21,20,30,0,0.0
2019,1,21,21,30,0,0.0
2019,1,21,22,30,0,0.0
2019,1,21,23,30,0,0.0
2019,1,22,0,30,0,0.0
2019,1,22,1,30,0,0.0
2019,1,22,2,30,0,0.0
2019,1,22,3,30,0,0.0
2019,1,22,4,30,0,0.0
2019,1,22,5,30,0,0.0
2019,1,22,6,30,0,0.0
2019,1,22,7,30,5,0.005
2019,1,22,8,30,105,0.105
2019,1,22,9,30,213,0.213
2019,1,22,10,30,232,0.232
2019,1,22,11,30,225,0.225
2019,1,22,12,30,151,0.151
2019,1,22,13,30,159,0.159
2019,1,22,14,30,25,0.025
2019,1,22,15,30,0,0.0
2019,1,22,16,30,45,0.045
2019,1,22,17,30,0,0.0
2019,1,22,18,30,0,0.0
2019,1,22,19,30,0,0.0
2019,1,22,20,30,0,0.0
2019,1,22,21,30,0,0.0
2019,1,22,22,30,0,0.0
2019,1,22,23,30,0,0.0
2019,1,23,0,30,0,0.0
2019,1,23,1,30,0,0.0
2019,1,23,2,30,0,0.0
2019,1,23,3,30,0,0.0
2019,1,23,4,30,0,0.0
2019,1,23,5,30,0,0.0
2019,1,23,6,30,0,0.0
2019,1,23,7,30,10,0.01
2019,1,23,8,30,58,0.058
2019,1,23,9,30,340,0.34
2019,1,23,10,30,399,0.399
2019,1,23,11,30,687,0.687
2019,1,23,12,30,784,0.784
2019,1,23,13,30,819,0.819
2019,1,23,14,30,822,0.822
2019,1,23,15,30,688,0.688
2019,1,23,16,30,153,0.153
2019,1,23,17,30,0,0.0
2019,1,23,18,30,0,0.0
2019,1,23,19,30,0,0.0
2019,1,23,20,30,0,0.0
2019,1,23,21,30,0,0.0
2019,1,23,22,30,0,0.0
2019,1,23,23,30,0,0.0
2019,1,24,0,30,0,0.0
2019,1,24,1,30,0,0.0
2019,1,24,2,30,0,0.0
2019,1,24,3,30,0,0.0
2019,1,24,4,30,0,0.0
2019,1,24,5,30,0,0.0
2019,1,24,6,30,0,0.0
2019,1,24,7,30,22,0.022
2019,1,24,8,30,77,0.077
2019,1,24,9,30,412,0.412
2019,1,24,10,30,647,0.647
2019,1,24,11,30,642,0.642
2019,1,24,12,30,674,0.674
2019,1,24,13,30,613,0.613
2019,1,24,14,30,551,0.551
2019,1,24,15,30,394,0.394
2019,1,24,16,30,134,0.134
2019,1,24,17,30,0,0.0
2019,1,24,18,30,0,0.0
2019,1,24,19,30,0,0.0
2019,1,24,20,30,0,0.0
2019,1,24,21,30,0,0.0
2019,1,24,22,30,0,0.0
2019,1,24,23,30,0,0.0
2019,1,25,0,30,0,0.0
2019,1,25,1,30,0,0.0
2019,1,25,2,30,0,0.0
2019,1,25,3,30,0,0.0
2019,1,25,4,30,0,0.0
2019,1,25,5,30,0,0.0
2019,1,25,6,30,0,0.0
2019,1,25,7,30,31,0.031
2019,1,25,8,30,145,0.145
2019,1,25,9,30,156,0.156
2019,1,25,10,30,384,0.384
2019,1,25,11,30,208,0.208
2019,1,25,12,30,197,0.197
2019,1,25,13,30,198,0.198
2019,1,25,14,30,132,0.132
2019,1,25,15,30,89,0.089
2019,1,25,16,30,15,0.015
2019,1,25,17,30,0,0.0
2019,1,25,18,30,0,0.0
2019,1,25,19,30,0,0.0
2019,1,25,20,30,0,0.0
2019,1,25,21,30,0,0.0
2019,1,25,22,30,0,0.0
2019,1,25,23,30,0,0.0
2019,1,26,0,30,0,0.0
2019,1,26,1,30,0,0.0
2019,1,26,2,30,0,0.0
2019,1,26,3,30,0,0.0
2019,1,26,4,30,0,0.0
2019,1,26,5,30,0,0.0
2019,1,26,6,30,0,0.0
2019,1,26,7,30,19,0.019
2019,1,26,8,30,268,0.268
2019,1,26,9,30,229,0.229
2019,1,26,10,30,521,0.521
2019,1,26,11,30,530,0.53
2019,1,26,12,30,194,0.194
2019,1,26,13,30,80,0.08
2019,1,26,14,30,147,0.147
2019,1,26,15,30,446,0.446
2019,1,26,16,30,29,0.029
2019,1,26,17,30,0,0.0
2019,1,26,18,30,0,0.0
2019,1,26,19,30,0,0.0
2019,1,26,20,30,0,0.0
2019,1,26,21,30,0,0.0
2019,1,26,22,30,0,0.0
2019,1,26,23,30,0,0.0
2019,1,27,0,30,0,0.0
2019,1,27,1,30,0,0.0
2019,1,27,2,30,0,0.0
2019,1,27,3,30,0,0.0
2019,1,27,4,30,0,0.0
2019,1,27,5,30,0,0.0
2019,1,27,6,30,0,0.0
2019,1,27,7,30,78,0.078
2019,1,27,8,30,472,0.472
2019,1,27,9,30,543,0.543
2019,1,27,10,30,760,0.76
2019,1,27,11,30,620,0.62
2019,1,27,12,30,682,0.682
2019,1,27,13,30,259,0.259
2019,1,27,14,30,210,0.21
2019,1,27,15,30,1,0.001
2019,1,27,16,30,15,0.015
2019,1,27,17,30,0,0.0
2019,1,27,18,30,0,0.0
2019,1,27,19,30,0,0.0
2019,1,27,20,30,0,0.0
2019,1,27,21,30,0,0.0
2019,1,27,22,30,0,0.0
2019,1,27,23,30,0,0.0
2019,1,28,0,30,0,0.0
2019,1,28,1,30,0,0.0
2019,1,28,2,30,0,0.0
2019,1,28,3,30,0,0.0
2019,1,28,4,30,0,0.0
2019,1,28,5,30,0,0.0
2019,1,28,6,30,0,0.0
2019,1,28,7,30,0,0.0
2019,1,28,8,30,15,0.015
2019,1,28,9,30,50,0.05
2019,1,28,10,30,114,0.114
2019,1,28,11,30,373,0.373
2019,1,28,12,30,171,0.171
2019,1,28,13,30,317,0.317
2019,1,28,14,30,314,0.314
2019,1,28,15,30,191,0.191
2019,1,28,16,30,29,0.029
2019,1,28,17,30,0,0.0
2019,1,28,18,30,0,0.0
2019,1,28,19,30,0,0.0
2019,1,28,20,30,0,0.0
2019,1,28,21,30,0,0.0
2019,1,28,22,30,0,0.0
2019,1,28,23,30,0,0.0
2019,1,29,0,30,0,0.0
2019,1,29,1,30,0,0.0
2019,1,29,2,30,0,0.0
2019,1,29,3,30,0,0.0
2019,1,29,4,30,0,0.0
2019,1,29,5,30,0,0.0
2019,1,29,6,30,0,0.0
2019,1,29,7,30,132,0.132
2019,1,29,8,30,559,0.559
2019,1,29,9,30,553,0.553
2019,1,29,10,30,647,0.647
2019,1,29,11,30,882,0.882
