Date,Hour,Minute,DNI,DNI(KWH)
2011-01-16,1,30,0,0.0
2011-01-16,2,30,0,0.0
2011-01-16,3,30,0,0.0
2011-01-16,4,30,0,0.0
2011-01-16,5,30,0,0.0
2011-01-16,6,30,0,0.0
2011-01-16,7,30,0,0.0
2011-01-16,8,30,524,0.524
2011-01-16,9,30,0,0.0
2011-01-16,10,30,20,0.02
2011-01-16,11,30,197,0.197
2011-01-16,12,30,49,0.049
2011-01-16,13,30,88,0.088
2011-01-16,14,30,796,0.796
2011-01-16,15,30,669,0.669
2011-01-16,16,30,362,0.362
2011-01-16,17,30,0,0.0
2011-01-16,18,30,0,0.0
2011-01-16,19,30,0,0.0
2011-01-16,20,30,0,0.0
2011-01-16,21,30,0,0.0
2011-01-16,22,30,0,0.0
2011-01-16,23,30,0,0.0
2011-01-17,0,30,0,0.0
2011-01-17,1,30,0,0.0
2011-01-17,2,30,0,0.0
2011-01-17,3,30,0,0.0
2011-01-17,4,30,0,0.0
2011-01-17,5,30,0,0.0
2011-01-17,6,30,0,0.0
2011-01-17,7,30,0,0.0
2011-01-17,8,30,0,0.0
2011-01-17,9,30,0,0.0
2011-01-17,10,30,0,0.0
2011-01-17,11,30,0,0.0
2011-01-17,12,30,0,0.0
2011-01-17,13,30,6,0.006
2011-01-17,14,30,114,0.114
2011-01-17,15,30,0,0.0
2011-01-17,16,30,0,0.0
2011-01-17,17,30,0,0.0
2011-01-17,18,30,0,0.0
2011-01-17,19,30,0,0.0
2011-01-17,20,30,0,0.0
2011-01-17,21,30,0,0.0
2011-01-17,22,30,0,0.0
2011-01-17,23,30,0,0.0
2011-01-18,0,30,0,0.0
2011-01-18,1,30,0,0.0
2011-01-18,2,30,0,0.0
2011-01-18,3,30,0,0.0
2011-01-18,4,30,0,0.0
2011-01-18,5,30,0,0.0
2011-01-18,6,30,0,0.0
2011-01-18,7,30,0,0.0
2011-01-18,8,30,475,0.475
2011-01-18,9,30,689,0.689
2011-01-18,10,30,0,0.0
2011-01-18,11,30,0,0.0
2011-01-18,12,30,0,0.0
2011-01-18,13,30,802,0.802
2011-01-18,14,30,1,0.001
2011-01-18,15,30,596,0.596
2011-01-18,16,30,281,0.281
2011-01-18,17,30,0,0.0
2011-01-18,18,30,0,0.0
2011-01-18,19,30,0,0.0
2011-01-18,20,30,0,0.0
2011-01-18,21,30,0,0.0
2011-01-18,22,30,0,0.0
2011-01-18,23,30,0,0.0
2011-01-19,0,30,0,0.0
2011-01-19,1,30,0,0.0
2011-01-19,2,30,0,0.0
2011-01-19,3,30,0,0.0
2011-01-19,4,30,0,0.0
2011-01-19,5,30,0,0.0
2011-01-19,6,30,0,0.0
2011-01-19,7,30,0,0.0
2011-01-19,8,30,0,0.0
2011-01-19,9,30,0,0.0
2011-01-19,10,30,832,0.832
2011-01-19,11,30,873,0.873
2011-01-19,12,30,874,0.874
2011-01-19,13,30,478,0.478
2011-01-19,14,30,497,0.497
2011-01-19,15,30,447,0.447
2011-01-19,16,30,164,0.164
2011-01-19,17,30,0,0.0
2011-01-19,18,30,0,0.0
2011-01-19,19,30,0,0.0
2011-01-19,20,30,0,0.0
2011-01-19,21,30,0,0.0
2011-01-19,22,30,0,0.0
2011-01-19,23,30,0,0.0
2011-01-20,0,30,0,0.0
2011-01-20,1,30,0,0.0
2011-01-20,2,30,0,0.0
2011-01-20,3,30,0,0.0
2011-01-20,4,30,0,0.0
2011-01-20,5,30,0,0.0
2011-01-20,6,30,0,0.0
2011-01-20,7,30,0,0.0
2011-01-20,8,30,0,0.0
2011-01-20,9,30,14,0.014
2011-01-20,10,30,885,0.885
2011-01-20,11,30,921,0.921
2011-01-20,12,30,245,0.245
2011-01-20,13,30,888,0.888
2011-01-20,14,30,835,0.835
2011-01-20,15,30,737,0.737
2011-01-20,16,30,505,0.505
2011-01-20,17,30,0,0.0
2011-01-20,18,30,0,0.0
2011-01-20,19,30,0,0.0
2011-01-20,20,30,0,0.0
2011-01-20,21,30,0,0.0
2011-01-20,22,30,0,0.0
2011-01-20,23,30,0,0.0
2011-01-21,0,30,0,0.0
2011-01-21,1,30,0,0.0
2011-01-21,2,30,0,0.0
2011-01-21,3,30,0,0.0
2011-01-21,4,30,0,0.0
2011-01-21,5,30,0,0.0
2011-01-21,6,30,0,0.0
2011-01-21,7,30,0,0.0
2011-01-21,8,30,624,0.624
2011-01-21,9,30,792,0.792
2011-01-21,10,30,24,0.024
2011-01-21,11,30,59,0.059
2011-01-21,12,30,139,0.139
2011-01-21,13,30,356,0.356
2011-01-21,14,30,264,0.264
2011-01-21,15,30,159,0.159
2011-01-21,16,30,48,0.048
2011-01-21,17,30,0,0.0
2011-01-21,18,30,0,0.0
2011-01-21,19,30,0,0.0
2011-01-21,20,30,0,0.0
2011-01-21,21,30,0,0.0
2011-01-21,22,30,0,0.0
2011-01-21,23,30,0,0.0
2011-01-22,0,30,0,0.0
2011-01-22,1,30,0,0.0
2011-01-22,2,30,0,0.0
2011-01-22,3,30,0,0.0
2011-01-22,4,30,0,0.0
2011-01-22,5,30,0,0.0
2011-01-22,6,30,0,0.0
2011-01-22,7,30,0,0.0
2011-01-22,8,30,0,0.0
2011-01-22,9,30,0,0.0
2011-01-22,10,30,21,0.021
2011-01-22,11,30,20,0.02
2011-01-22,12,30,3,0.003
2011-01-22,13,30,151,0.151
2011-01-22,14,30,148,0.148
2011-01-22,15,30,415,0.415
2011-01-22,16,30,184,0.184
2011-01-22,17,30,0,0.0
2011-01-22,18,30,0,0.0
2011-01-22,19,30,0,0.0
2011-01-22,20,30,0,0.0
2011-01-22,21,30,0,0.0
2011-01-22,22,30,0,0.0
2011-01-22,23,30,0,0.0
2011-01-23,0,30,0,0.0
2011-01-23,1,30,0,0.0
2011-01-23,2,30,0,0.0
2011-01-23,3,30,0,0.0
2011-01-23,4,30,0,0.0
2011-01-23,5,30,0,0.0
2011-01-23,6,30,0,0.0
2011-01-23,7,30,0,0.0
2011-01-23,8,30,4,0.004
2011-01-23,9,30,0,0.0
2011-01-23,10,30,0,0.0
2011-01-23,11,30,190,0.19
2011-01-23,12,30,160,0.16
2011-01-23,13,30,72,0.072
2011-01-23,14,30,0,0.0
2011-01-23,15,30,0,0.0
2011-01-23,16,30,406,0.406
2011-01-23,17,30,0,0.0
2011-01-23,18,30,0,0.0
2011-01-23,19,30,0,0.0
2011-01-23,20,30,0,0.0
2011-01-23,21,30,0,0.0
2011-01-23,22,30,0,0.0
2011-01-23,23,30,0,0.0
2011-01-24,0,30,0,0.0
2011-01-24,1,30,0,0.0
2011-01-24,2,30,0,0.0
2011-01-24,3,30,0,0.0
2011-01-24,4,30,0,0.0
2011-01-24,5,30,0,0.0
2011-01-24,6,30,0,0.0
2011-01-24,7,30,0,0.0
2011-01-24,8,30,0,0.0
2011-01-24,9,30,0,0.0
2011-01-24,10,30,0,0.0
2011-01-24,11,30,33,0.033
2011-01-24,12,30,46,0.046
2011-01-24,13,30,50,0.05
2011-01-24,14,30,751,0.751
2011-01-24,15,30,622,0.622
2011-01-24,16,30,344,0.344
2011-01-24,17,30,0,0.0
2011-01-24,18,30,0,0.0
2011-01-24,19,30,0,0.0
2011-01-24,20,30,0,0.0
2011-01-24,21,30,0,0.0
2011-01-24,22,30,0,0.0
2011-01-24,23,30,0,0.0
2011-01-25,0,30,0,0.0
2011-01-25,1,30,0,0.0
2011-01-25,2,30,0,0.0
2011-01-25,3,30,0,0.0
2011-01-25,4,30,0,0.0
2011-01-25,5,30,0,0.0
2011-01-25,6,30,0,0.0
2011-01-25,7,30,0,0.0
2011-01-25,8,30,0,0.0
2011-01-25,9,30,0,0.0
2011-01-25,10,30,0,0.0
2011-01-25,11,30,27,0.027
2011-01-25,12,30,27,0.027
2011-01-25,13,30,31,0.031
2011-01-25,14,30,3,0.003
2011-01-25,15,30,0,0.0
2011-01-25,16,30,432,0.432
2011-01-25,17,30,0,0.0
2011-01-25,18,30,0,0.0
2011-01-25,19,30,0,0.0
2011-01-25,20,30,0,0.0
2011-01-25,21,30,0,0.0
2011-01-25,22,30,0,0.0
2011-01-25,23,30,0,0.0
2011-01-26,0,30,0,0.0
2011-01-26,1,30,0,0.0
2011-01-26,2,30,0,0.0
2011-01-26,3,30,0,0.0
2011-01-26,4,30,0,0.0
2011-01-26,5,30,0,0.0
2011-01-26,6,30,0,0.0
2011-01-26,7,30,0,0.0
2011-01-26,8,30,0,0.0
2011-01-26,9,30,0,0.0
2011-01-26,10,30,0,0.0
2011-01-26,11,30,26,0.026
2011-01-26,12,30,2,0.002
2011-01-26,13,30,22,0.022
2011-01-26,14,30,0,0.0
2011-01-26,15,30,0,0.0
2011-01-26,16,30,396,0.396
2011-01-26,17,30,0,0.0
2011-01-26,18,30,0,0.0
2011-01-26,19,30,0,0.0
2011-01-26,20,30,0,0.0
2011-01-26,21,30,0,0.0
2011-01-26,22,30,0,0.0
2011-01-26,23,30,0,0.0
2011-01-27,0,30,0,0.0
2011-01-27,1,30,0,0.0
2011-01-27,2,30,0,0.0
2011-01-27,3,30,0,0.0
2011-01-27,4,30,0,0.0
2011-01-27,5,30,0,0.0
2011-01-27,6,30,0,0.0
2011-01-27,7,30,0,0.0
2011-01-27,8,30,0,0.0
2011-01-27,9,30,0,0.0
2011-01-27,10,30,0,0.0
2011-01-27,11,30,77,0.077
2011-01-27,12,30,51,0.051
2011-01-27,13,30,75,0.075
2011-01-27,14,30,0,0.0
2011-01-27,15,30,123,0.123
2011-01-27,16,30,25,0.025
